36,0,0,0,86,35,0,0,0,0,0,0,0,1,3,2,1,4,3,3,1,8,2,3,4,4,6,2,2,3,3,4,3,6,2,1,7,2,2,5,2,7,6,5,4,0,33,84,2,0,77,55,0,0,0,77,27,0,0,69,34,0,15,0,0,75,0,0,0,1,71,0,0,0,2,0,1,1,3,0,5,3,1,2,1,2,1,3,2,7,4,2,3,6,4,4,3,2,5,2,2,1,3,3,3,8,7,3,1,11,2,3,106,8,0,81,36,0,0,77,0,0,0,71,52,0,0,81
73,2,0,0,74,2,0,0,0,0,0,0,2,3,1,4,3,3,1,3,3,4,5,3,3,3,2,4,2,2,1,4,3,6,2,2,4,4,4,6,6,4,2,5,8,4,76,16,0,0,3,0,91,0,0,77,11,1,0,0,87,1,0,0,60,0,0,0,0,75,14,0,0,0,2,0,1,1,3,0,5,3,1,2,1,2,1,3,2,7,4,2,3,6,4,4,3,2,5,2,2,1,3,3,3,8,7,3,1,11,2,3,106,8,0,81,36,0,0,77,0,0,0,71,52,0,0,81
73,2,0,0,74,2,0,0,0,0,0,0,2,3,1,4,3,3,1,3,3,4,5,3,3,3,2,4,2,2,1,4,3,6,2,2,4,4,4,6,6,4,2,5,8,4,76,16,0,0,3,0,91,0,0,77,11,1,0,0,87,1,0,0,60,0,0,0,0,75,14,0,0,0,0,4,5,42,1,0,0,5,8,2,1,3,4,4,1,2,1,9,2,4,2,2,1,1,6,5,3,2,5,1,2,4,2,1,2,3,49,20,8,1,3,96,4,0,83,28,0,90,68,0,0,67,0,0
0,72,40,0,0,84,61,0,0,0,0,0,0,0,0,0,6,2,1,1,1,4,1,2,2,5,5,3,4,2,4,4,2,7,6,2,1,1,2,6,5,2,2,2,1,3,87,13,0,0,0,74,0,0,0,77,14,0,0,73,3,0,0,0,86,45,0,0,0,2,53,12,0,0,0,4,5,42,1,0,0,5,8,2,1,3,4,4,1,2,1,9,2,4,2,2,1,1,6,5,3,2,5,1,2,4,2,1,2,3,49,20,8,1,3,96,4,0,83,28,0,90,68,0,0,67,0,0
0,72,40,0,0,84,61,0,0,0,0,0,0,0,0,0,6,2,1,1,1,4,1,2,2,5,5,3,4,2,4,4,2,7,6,2,1,1,2,6,5,2,2,2,1,3,87,13,0,0,0,74,0,0,0,77,14,0,0,73,3,0,0,0,86,45,0,0,0,2,53,12,0,0,2,0,6,0,2,1,10,0,5,0,1,11,2,7,3,2,0,4,3,1,3,7,4,3,3,2,2,9,3,1,1,6,2,5,2,2,88,21,0,0,20,79,31,0,80,41,0,0,91,48,0,0,81,0
0,79,0,11,3,0,76,39,0,0,0,0,0,1,0,1,1,0,4,6,1,2,3,1,3,1,6,4,6,2,1,2,2,2,0,1,2,2,4,3,5,5,0,6,28,71,37,0,0,0,2,76,0,0,0,66,2,17,0,0,98,0,0,0,0,0,92,0,0,0,0,4,70,0,2,0,6,0,2,1,10,0,5,0,1,11,2,7,3,2,0,4,3,1,3,7,4,3,3,2,2,9,3,1,1,6,2,5,2,2,88,21,0,0,20,79,31,0,80,41,0,0,91,48,0,0,81,0
0,79,0,11,3,0,76,39,0,0,0,0,0,1,0,1,1,0,4,6,1,2,3,1,3,1,6,4,6,2,1,2,2,2,0,1,2,2,4,3,5,5,0,6,28,71,37,0,0,0,2,76,0,0,0,66,2,17,0,0,98,0,0,0,0,0,92,0,0,0,0,4,70,0,0,0,9,0,0,2,4,2,2,2,5,4,10,2,4,0,1,3,0,5,2,9,3,6,2,3,4,1,0,3,5,2,2,1,4,89,52,0,6,0,0,98,13,0,74,0,0,0,92,32,0,60,0,0
0,0,101,0,17,0,81,15,0,0,0,0,0,0,0,0,3,0,3,10,2,4,2,4,1,2,4,1,3,4,1,1,4,2,3,2,6,5,1,1,4,3,2,2,1,69,25,12,0,0,71,0,0,0,0,89,2,0,0,82,43,0,0,60,0,0,0,66,0,0,0,0,0,5,0,0,9,0,0,2,4,2,2,2,5,4,10,2,4,0,1,3,0,5,2,9,3,6,2,3,4,1,0,3,5,2,2,1,4,89,52,0,6,0,0,98,13,0,74,0,0,0,92,32,0,60,0,0
0,0,101,0,17,0,81,15,0,0,0,0,0,0,0,0,3,0,3,10,2,4,2,4,1,2,4,1,3,4,1,1,4,2,3,2,6,5,1,1,4,3,2,2,1,69,25,12,0,0,71,0,0,0,0,89,2,0,0,82,43,0,0,60,0,0,0,66,0,0,0,0,0,5,0,1,5,2,3,14,7,2,9,1,1,3,3,1,11,1,2,3,2,3,2,4,3,5,5,5,4,1,2,3,4,1,6,2,3,86,33,0,0,0,0,98,0,0,85,0,0,55,26,0,0,79,0,0
26,0,0,0,0,0,0,90,0,0,0,1,0,0,1,2,1,3,1,3,1,3,3,2,2,3,3,3,1,3,3,2,3,3,6,1,1,6,2,3,3,2,0,3,3,4,80,8,0,0,1,77,0,0,0,70,0,0,0,0,84,0,0,0,77,15,6,0,0,74,44,0,0,0,0,1,5,2,3,14,7,2,9,1,1,3,3,1,11,1,2,3,2,3,2,4,3,5,5,5,4,1,2,3,4,1,6,2,3,86,33,0,0,0,0,98,0,0,85,0,0,55,26,0,0,79,0,0
95,0,0,0,0,0,0,90,0,0,0,1,0,0,1,2,1,3,1,3,1,3,3,2,2,3,3,3,1,3,3,2,3,3,6,1,1,6,2,3,3,2,0,3,3,4,80,8,0,0,1,77,0,0,0,70,0,0,0,0,84,0,0,0,77,15,6,0,0,74,44,0,0,0,3,0,0,1,4,1,2,5,1,1,2,1,5,6,2,6,4,4,2,5,1,2,7,3,0,3,6,7,3,4,1,1,1,6,4,76,55,0,1,0,0,87,9,4,85,43,0,55,71,0,0,0,0,0
95,97,3,0,0,79,0,0,0,0,0,0,0,0,2,0,1,0,3,2,3,3,4,1,3,2,4,4,2,4,8,2,3,3,3,2,2,4,3,2,1,4,5,3,5,5,3,88,65,0,1,0,31,58,0,0,72,51,0,0,79,60,0,0,70,12,0,0,0,0,0,65,3,0,3,0,0,1,4,1,2,5,1,1,2,1,5,6,2,6,4,4,2,5,1,2,7,3,0,3,6,7,3,4,1,1,1,6,4,76,55,0,1,0,0,87,9,4,85,43,0,55,71,0,0,0,0,0
0,97,3,0,0,79,0,0,0,0,0,0,0,0,2,0,1,0,3,2,3,3,4,1,3,2,4,4,2,4,8,2,3,3,3,2,2,4,3,2,1,4,5,3,5,5,3,88,65,0,1,0,31,58,0,0,72,51,0,0,79,60,0,0,70,12,0,0,0,0,0,65,3,0,0,1,2,1,4,0,1,1,5,3,1,2,6,3,2,3,1,2,1,2,2,4,1,3,7,3,2,4,2,1,3,8,4,2,4,2,3,73,7,0,0,0,89,31,0,0,93,48,0,0,0,98,29,0
